drug_name,medical_condition,activity,rx_otc,pregnancy_category,alcohol
Ex-Lax Milk of Magnesia,Constipation,1,Rx/OTC,N,N
Fiber Lax,Constipation,1,OTC,N,N
Fiber Laxative,Constipation,1,OTC,N,N
Fleet Glycerin Suppositories Adult,Constipation,1,Rx/OTC,C,N
Fleet Phospho Soda,Constipation,1,Rx/OTC,C,N
mineral oil,Constipation,1,Rx/OTC,N,N
Natural Fiber Therapy,Constipation,1,OTC,N,N
OsmoPrep,Constipation,1,Rx/OTC,C,N
Pedia-Lax Chewable Tablets,Constipation,1,Rx/OTC,N,N
Pedia-Lax Liquid Glycerin Suppositories,Constipation,1,Rx/OTC,C,N
polycarbophil,Constipation,1,OTC,N,N
Sani-Supp,Constipation,1,Rx/OTC,C,N
sorbitol,Constipation,1,Rx/OTC,N,N
benzocaine / docusate,Constipation,0,Rx/OTC,N,N
castor oil,Constipation,0,OTC,X,N
Fibertab,Constipation,0,OTC,N,N
Fleet Glycerin Suppositories Pediatric,Constipation,0,Rx/OTC,C,N
potassium phosphate,Constipation,0,Rx/OTC,C,N
Symbicort,COPD,95,Rx,C,N
prednisone,COPD,66,Rx,C,N
montelukast,COPD,53,Rx,B,N
Anoro Ellipta,COPD,31,Rx,C,N
Breo Ellipta,COPD,29,Rx,C,N
Daliresp,COPD,18,Rx,C,N
budesonide / formoterol,COPD,15,Rx,C,N
Tudorza Pressair,COPD,14,Rx,C,N
Incruse Ellipta,COPD,12,Rx,C,N
Stiolto Respimat,COPD,12,Rx,C,N
Rayos,COPD,9,Rx,C,N
aclidinium,COPD,6,Rx,C,N
fluticasone / vilanterol,COPD,6,Rx,C,N
levalbuterol,COPD,6,Rx,C,N
roflumilast,COPD,5,Rx,C,N
umeclidinium / vilanterol,COPD,5,Rx,C,N
Xopenex,COPD,4,Rx,C,N
olodaterol / tiotropium,COPD,3,Rx,C,N
Striverdi Respimat,COPD,3,Rx,C,N
Xopenex HFA,COPD,2,Rx,C,N
olodaterol,COPD,1,Rx,C,N
umeclidinium,COPD,1,Rx,C,N
Xopenex Concentrate,COPD,1,Rx,C,N
Breyna,COPD,0,Rx,C,N
bupropion,Depression,88,Rx,C,X
Cymbalta,Depression,87,Rx,C,X
sertraline,Depression,78,Rx,C,X
Zoloft,Depression,78,Rx,C,X
Lexapro,Depression,77,Rx,C,X
citalopram,Depression,65,Rx,C,X
Prozac,Depression,60,Rx,C,X
fluoxetine,Depression,59,Rx,C,X
Wellbutrin XL,Depression,59,Rx,C,X
Celexa,Depression,51,Rx,C,X
escitalopram,Depression,48,Rx,C,X
venlafaxine,Depression,44,Rx,C,X
Trintellix,Depression,43,Rx,C,X
Abilify,Depression,38,Rx,C,X
duloxetine,Depression,38,Rx,C,X
Effexor XR,Depression,38,Rx,C,X
vortioxetine,Depression,33,Rx,C,X
lisdexamfetamine,Depression,31,Rx,C,X
trazodone,Depression,30,Rx,C,X
mirtazapine,Depression,28,Rx,C,X
Pristiq,Depression,28,Rx,C,X
Effexor,Depression,24,Rx,C,X
Paxil,Depression,21,Rx,D,X
paroxetine,Depression,19,Rx,D,X
Remeron,Depression,19,Rx,C,X
Wellbutrin SR,Depression,19,Rx,C,X
amitriptyline,Depression,17,Rx,C,X
Viibryd,Depression,17,Rx,C,X
alprazolam,Depression,16,Rx,D,X
lamotrigine,Depression,15,Rx,C,X
tramadol,Depression,13,Rx,C,X
Seroquel XR,Depression,11,Rx,C,X
aripiprazole,Depression,10,Rx,C,X
quetiapine,Depression,10,Rx,C,X
Deplin,Depression,8,Rx,N,N
nortriptyline,Depression,8,Rx,N,X
Zyprexa,Depression,8,Rx,C,X
Desyrel,Depression,7,Rx,C,X
Forfivo XL,Depression,7,Rx,C,X
Budeprion SR,Depression,6,Rx,C,X
desvenlafaxine,Depression,6,Rx,C,X
methylphenidate,Depression,6,Rx,C,X
Aplenzin,Depression,5,Rx,C,X
Desyrel Dividose,Depression,5,Rx,C,X
doxepin,Depression,5,Rx,N,X
Fetzima,Depression,5,Rx,C,X
lithium,Depression,5,Rx,D,X
olanzapine,Depression,5,Rx,C,X
risperidone,Depression,5,Rx,C,X
desipramine,Depression,4,Rx,N,X
Irenka,Depression,4,Rx,C,X
modafinil,Depression,4,Rx,C,N
nefazodone,Depression,4,Rx,C,X
fluvoxamine,Depression,3,Rx,C,X
imipramine,Depression,3,Rx,N,X
l-methylfolate,Depression,3,Rx,N,N
Methylin ER,Depression,3,Rx,C,X
niacin,Depression,3,Rx/OTC,C,X
Parnate,Depression,3,Rx,N,X
Paxil CR,Depression,3,Rx,D,X
Remeron SolTab,Depression,3,Rx,C,X
Symbyax,Depression,3,Rx,C,X
Abilify MyCite,Depression,2,Rx,C,X
amitriptyline / chlordiazepoxide,Depression,2,Rx,N,X
amoxapine,Depression,2,Rx,C,X
Aventyl Hydrochloride,Depression,2,Rx,N,X
clomipramine,Depression,2,Rx,C,X
Emsam,Depression,2,Rx,C,X
fluoxetine / olanzapine,Depression,2,Rx,C,X
ketamine,Depression,2,Rx,N,X
Nardil,Depression,2,Rx,C,X
Norpramin,Depression,2,Rx,N,X
Pamelor,Depression,2,Rx,N,X
Pexeva,Depression,2,Rx,D,X
phenelzine,Depression,2,Rx,C,X
tranylcypromine,Depression,2,Rx,N,X
vilazodone,Depression,2,Rx,C,X
Zyprexa Zydis,Depression,2,Rx,C,X
amitriptyline / perphenazine,Depression,1,Rx,N,X
armodafinil,Depression,1,Rx,C,N
atomoxetine,Depression,1,Rx,C,N
isocarboxazid,Depression,1,Rx,C,X
levomilnacipran,Depression,1,Rx,C,X
Marplan,Depression,1,Rx,C,X
paliperidone,Depression,1,Rx,C,X
selegiline,Depression,1,Rx,C,X
Tofranil,Depression,1,Rx,N,X
trimipramine,Depression,1,Rx,C,X
Vivactil,Depression,1,Rx,N,X
XaQuil XR,Depression,1,Rx,N,N
L-Methylfolate Forte,Depression,0,Rx,N,N
protriptyline,Depression,0,Rx,N,X
Surmontil,Depression,0,Rx,C,X
thyroid desiccated,Depression,0,Rx,A,N
Humalog,Diabetes (Type 1),99,Rx,B,X
Lantus,Diabetes (Type 1),78,Rx,C,X
Novolog,Diabetes (Type 1),68,Rx,B,X
insulin lispro,Diabetes (Type 1),45,Rx,B,X
insulin aspart,Diabetes (Type 1),42,Rx,B,X
Lantus SoloStar,Diabetes (Type 1),37,Rx,C,X
Lyumjev,Diabetes (Type 1),35,Rx,B,X
insulin detemir,Diabetes (Type 1),34,Rx,B,X
Levemir,Diabetes (Type 1),34,Rx,B,X
insulin aspart/insulin aspart protamine,Diabetes (Type 1),32,Rx,B,X
Humalog KwikPen,Diabetes (Type 1),28,Rx,B,X
NovoLog FlexPen,Diabetes (Type 1),28,Rx,B,X
Apidra,Diabetes (Type 1),23,Rx,C,X
insulin glargine,Diabetes (Type 1),19,Rx,C,X
Basaglar,Diabetes (Type 1),14,Rx,C,X
Tresiba,Diabetes (Type 1),14,Rx,C,X
Toujeo SoloStar,Diabetes (Type 1),12,Rx,C,X
Humulin N,Diabetes (Type 1),11,OTC,B,X
Humulin R,Diabetes (Type 1),10,OTC,B,X
Afrezza,Diabetes (Type 1),9,Rx,C,X
Novolin R,Diabetes (Type 1),9,OTC,B,X
Symlin,Diabetes (Type 1),9,Rx,C,X
Humulin 70/30,Diabetes (Type 1),8,OTC,B,X
insulin regular,Diabetes (Type 1),8,Rx/OTC,B,X
Novolin N,Diabetes (Type 1),8,OTC,B,X
Admelog,Diabetes (Type 1),6,Rx,B,X
Fiasp,Diabetes (Type 1),6,Rx,B,X
Novolin 70/30,Diabetes (Type 1),6,OTC,B,X
Humalog Mix 75/25,Diabetes (Type 1),5,Rx,B,X
insulin glulisine,Diabetes (Type 1),5,Rx,C,X
Rezvoglar,Diabetes (Type 1),5,Rx,C,X
Semglee,Diabetes (Type 1),5,Rx,C,X
Toujeo Max SoloStar,Diabetes (Type 1),5,Rx,C,X
Humulin R U-500 (Concentrated),Diabetes (Type 1),4,Rx,B,X
NovoLog Mix 70/30,Diabetes (Type 1),4,Rx,B,X
NovoLog PenFill,Diabetes (Type 1),4,Rx,B,X
octreotide,Diabetes (Type 1),4,Rx,B,N
pramlintide,Diabetes (Type 1),4,Rx,C,X
"insulin inhalation, rapid acting",Diabetes (Type 1),3,Rx,C,X
insulin isophane,Diabetes (Type 1),3,OTC,B,X
NovoLog Mix 70/30 FlexPen,Diabetes (Type 1),3,Rx,B,X
Humulin N Pen,Diabetes (Type 1),2,OTC,B,X
Humulin R U-500 KwikPen,Diabetes (Type 1),2,Rx,B,X
insulin degludec,Diabetes (Type 1),2,Rx,C,X
insulin isophane / insulin regular,Diabetes (Type 1),2,OTC,B,X
Myxredlin,Diabetes (Type 1),2,Rx,B,X
Humalog Mix 50/50,Diabetes (Type 1),1,Rx,B,X
Humalog Mix 75/25 KwikPen,Diabetes (Type 1),1,Rx,B,X
insulin lispro/insulin lispro protamine,Diabetes (Type 1),1,Rx,B,X
Symlin Pen,Diabetes (Type 1),1,Rx,C,X
SymlinPen 60,Diabetes (Type 1),1,Rx,C,X
SymlinPen 120,Diabetes (Type 1),1,Rx,C,X
Humalog Mix 50/50 KwikPen,Diabetes (Type 1),0,Rx,B,X
Humulin 50/50,Diabetes (Type 1),0,OTC,B,X
Humulin 70/30 Pen,Diabetes (Type 1),0,OTC,B,X
ReliOn/Novolin 70/30,Diabetes (Type 1),0,OTC,B,X
metformin,Diabetes (Type 2),100,Rx,B,X
Farxiga,Diabetes (Type 2),43,Rx,C,X
Trulicity,Diabetes (Type 2),40,Rx,C,X
dapagliflozin,Diabetes (Type 2),33,Rx,C,X
dulaglutide,Diabetes (Type 2),32,Rx,C,X
insulin aspart,Diabetes (Type 2),32,Rx,B,X
insulin detemir,Diabetes (Type 2),32,Rx,B,X
insulin lispro,Diabetes (Type 2),32,Rx,B,X
Lyumjev,Diabetes (Type 2),31,Rx,B,X
insulin aspart/insulin aspart protamine,Diabetes (Type 2),30,Rx,B,X
Januvia,Diabetes (Type 2),30,Rx,B,X
Victoza,Diabetes (Type 2),28,Rx,C,X
glipizide,Diabetes (Type 2),23,Rx,C,X
glimepiride,Diabetes (Type 2),21,Rx,C,X
Amaryl,Diabetes (Type 2),15,Rx,C,X
Invokana,Diabetes (Type 2),15,Rx,C,X
Lantus,Diabetes (Type 2),15,Rx,C,X
Actos,Diabetes (Type 2),13,Rx,C,X
Jardiance,Diabetes (Type 2),13,Rx,C,X
Levemir,Diabetes (Type 2),12,Rx,B,X
Janumet,Diabetes (Type 2),11,Rx,B,X
Glucotrol,Diabetes (Type 2),10,Rx,C,X
Byetta,Diabetes (Type 2),9,Rx,C,X
Glumetza,Diabetes (Type 2),8,Rx,B,X
liraglutide,Diabetes (Type 2),8,Rx,C,X
pioglitazone,Diabetes (Type 2),8,Rx,C,X
Tradjenta,Diabetes (Type 2),8,Rx,B,X
Bydureon,Diabetes (Type 2),7,Rx,C,X
Humalog,Diabetes (Type 2),7,Rx,B,X
Lantus SoloStar,Diabetes (Type 2),7,Rx,C,X
sitagliptin,Diabetes (Type 2),7,Rx,B,X
Novolog,Diabetes (Type 2),6,Rx,B,X
glyburide,Diabetes (Type 2),5,Rx,C,X
metformin / sitagliptin,Diabetes (Type 2),5,Rx,B,X
Onglyza,Diabetes (Type 2),5,Rx,B,X
Riomet,Diabetes (Type 2),5,Rx,B,X
GlipiZIDE XL,Diabetes (Type 2),4,Rx,C,X
insulin glargine,Diabetes (Type 2),4,Rx,C,X
NovoLog FlexPen,Diabetes (Type 2),4,Rx,B,X
Prandin,Diabetes (Type 2),4,Rx,C,X
Tresiba,Diabetes (Type 2),4,Rx,C,X
canagliflozin,Diabetes (Type 2),3,Rx,C,X
chromium picolinate,Diabetes (Type 2),3,OTC,N,N
empagliflozin,Diabetes (Type 2),3,Rx,C,X
exenatide,Diabetes (Type 2),3,Rx,C,X
Humulin R,Diabetes (Type 2),3,OTC,B,X
repaglinide,Diabetes (Type 2),3,Rx,C,X
acarbose,Diabetes (Type 2),2,Rx,B,X
alogliptin,Diabetes (Type 2),2,Rx,B,X
Avandia,Diabetes (Type 2),2,Rx,C,X
Basaglar,Diabetes (Type 2),2,Rx,C,X
glimepiride / pioglitazone,Diabetes (Type 2),2,Rx,C,X
Glucotrol XL,Diabetes (Type 2),2,Rx,C,X
glyburide / metformin,Diabetes (Type 2),2,Rx,B,X
Humalog KwikPen,Diabetes (Type 2),2,Rx,B,X
Humulin N,Diabetes (Type 2),2,OTC,B,X
Kombiglyze XR,Diabetes (Type 2),2,Rx,B,X
linagliptin,Diabetes (Type 2),2,Rx,B,X
Toujeo SoloStar,Diabetes (Type 2),2,Rx,C,X
Welchol,Diabetes (Type 2),2,Rx,B,N
Xigduo XR,Diabetes (Type 2),2,Rx,C,X
Adlyxin,Diabetes (Type 2),1,Rx,N,X
Admelog,Diabetes (Type 2),1,Rx,B,X
Apidra,Diabetes (Type 2),1,Rx,C,X
bromocriptine,Diabetes (Type 2),1,Rx,B,X
colesevelam,Diabetes (Type 2),1,Rx,B,N
Cycloset,Diabetes (Type 2),1,Rx,B,X
dapagliflozin / metformin,Diabetes (Type 2),1,Rx,C,X
DiaBeta,Diabetes (Type 2),1,Rx,C,X
empagliflozin / metformin,Diabetes (Type 2),1,Rx,C,X
glipizide / metformin,Diabetes (Type 2),1,Rx,C,X
Glucovance,Diabetes (Type 2),1,Rx,B,X
Glycron,Diabetes (Type 2),1,Rx,C,X
Glynase,Diabetes (Type 2),1,Rx,C,X
Glyset,Diabetes (Type 2),1,Rx,B,X
Humulin 70/30,Diabetes (Type 2),1,OTC,B,X
insulin regular,Diabetes (Type 2),1,Rx/OTC,B,X
Janumet XR,Diabetes (Type 2),1,Rx,B,X
Jentadueto,Diabetes (Type 2),1,Rx,B,X
lixisenatide,Diabetes (Type 2),1,Rx,N,X
metformin / pioglitazone,Diabetes (Type 2),1,Rx,C,X
metformin / saxagliptin,Diabetes (Type 2),1,Rx,B,X
miglitol,Diabetes (Type 2),1,Rx,B,X
Nesina,Diabetes (Type 2),1,Rx,B,X
Novolin 70/30,Diabetes (Type 2),1,OTC,B,X
Novolin N,Diabetes (Type 2),1,OTC,B,X
Novolin R,Diabetes (Type 2),1,OTC,B,X
pramlintide,Diabetes (Type 2),1,Rx,C,X
saxagliptin,Diabetes (Type 2),1,Rx,B,X
Synjardy,Diabetes (Type 2),1,Rx,C,X
Toujeo Max SoloStar,Diabetes (Type 2),1,Rx,C,X
ActoPlus Met,Diabetes (Type 2),0,Rx,C,X
Afrezza,Diabetes (Type 2),0,Rx,C,X
albiglutide,Diabetes (Type 2),0,Rx,C,X
alogliptin / metformin,Diabetes (Type 2),0,Rx,B,X
alogliptin / pioglitazone,Diabetes (Type 2),0,Rx,C,X
Bydureon BCise,Diabetes (Type 2),0,Rx,C,X
canagliflozin / metformin,Diabetes (Type 2),0,Rx,C,X
Cr-GTF,Diabetes (Type 2),0,OTC,N,N
CRM,Diabetes (Type 2),0,OTC,N,N
Duetact,Diabetes (Type 2),0,Rx,C,X
empagliflozin / linagliptin,Diabetes (Type 2),0,Rx,C,X
Fiasp,Diabetes (Type 2),0,Rx,B,X
Glynase PresTab,Diabetes (Type 2),0,Rx,C,X
Glyxambi,Diabetes (Type 2),0,Rx,C,X
Humalog Mix 50/50,Diabetes (Type 2),0,Rx,B,X
Humalog Mix 50/50 KwikPen,Diabetes (Type 2),0,Rx,B,X
Humalog Mix 75/25,Diabetes (Type 2),0,Rx,B,X
Humalog Mix 75/25 KwikPen,Diabetes (Type 2),0,Rx,B,X
Humulin 50/50,Diabetes (Type 2),0,OTC,B,X
Humulin 70/30 Pen,Diabetes (Type 2),0,OTC,B,X
Humulin N Pen,Diabetes (Type 2),0,OTC,B,X
Humulin R U-500 (Concentrated),Diabetes (Type 2),0,Rx,B,X
Humulin R U-500 KwikPen,Diabetes (Type 2),0,Rx,B,X
insulin degludec,Diabetes (Type 2),0,Rx,C,X
insulin glulisine,Diabetes (Type 2),0,Rx,C,X
"insulin inhalation, rapid acting",Diabetes (Type 2),0,Rx,C,X
insulin isophane / insulin regular,Diabetes (Type 2),0,OTC,B,X
insulin isophane,Diabetes (Type 2),0,OTC,B,X
insulin lispro/insulin lispro protamine,Diabetes (Type 2),0,Rx,B,X
Invokamet,Diabetes (Type 2),0,Rx,C,X
Invokamet XR,Diabetes (Type 2),0,Rx,C,X
Jentadueto XR,Diabetes (Type 2),0,Rx,B,X
Kazano,Diabetes (Type 2),0,Rx,B,X
linagliptin / metformin,Diabetes (Type 2),0,Rx,B,X
Myxredlin,Diabetes (Type 2),0,Rx,B,X
nateglinide,Diabetes (Type 2),0,Rx,C,X
NovoLog Mix 70/30,Diabetes (Type 2),0,Rx,B,X
NovoLog Mix 70/30 FlexPen,Diabetes (Type 2),0,Rx,B,X
NovoLog PenFill,Diabetes (Type 2),0,Rx,B,X
Oseni,Diabetes (Type 2),0,Rx,C,X
ReliOn/Novolin 70/30,Diabetes (Type 2),0,OTC,B,X
Rezvoglar,Diabetes (Type 2),0,Rx,C,X
rosiglitazone,Diabetes (Type 2),0,Rx,C,X
Semglee,Diabetes (Type 2),0,Rx,C,X
Starlix,Diabetes (Type 2),0,Rx,C,X
Symlin,Diabetes (Type 2),0,Rx,C,X
Symlin Pen,Diabetes (Type 2),0,Rx,C,X
SymlinPen 60,Diabetes (Type 2),0,Rx,C,X
SymlinPen 120,Diabetes (Type 2),0,Rx,C,X
Synjardy XR,Diabetes (Type 2),0,Rx,C,X
Tanzeum,Diabetes (Type 2),0,Rx,C,X
loperamide,Diarrhea,100,Rx/OTC,C,X
Lomotil,Diarrhea,73,Rx,C,X
Imodium,Diarrhea,42,Rx/OTC,C,X
atropine / diphenoxylate,Diarrhea,40,Rx,C,X
Imodium A-D,Diarrhea,25,Rx/OTC,C,X
Anti-Diarrheal,Diarrhea,20,Rx/OTC,C,X
Pepto-Bismol,Diarrhea,17,Rx/OTC,N,N
Florastor,Diarrhea,11,OTC,N,N
codeine,Diarrhea,8,Rx,C,X
bismuth subsalicylate,Diarrhea,6,Rx/OTC,N,N
Diamode,Diarrhea,6,Rx/OTC,C,X
Kaopectate,Diarrhea,6,Rx/OTC,N,N
rifaximin,Diarrhea,5,Rx,C,N
Up and Up Anti-Diarrheal Solution,Diarrhea,5,Rx/OTC,C,X
neomycin,Diarrhea,4,Rx,D,N
saccharomyces boulardii lyo,Diarrhea,4,OTC,N,N
Bismatrol,Diarrhea,3,Rx/OTC,N,N
opium,Diarrhea,3,Rx,C,X
octreotide,Diarrhea,2,Rx,B,N
Bismarex,Diarrhea,1,Rx/OTC,N,N
Bismatrol Maximum Strength,Diarrhea,1,Rx/OTC,N,N
crofelemer,Diarrhea,1,Rx,C,N
Florastor Kids,Diarrhea,1,OTC,N,N
Mytesi,Diarrhea,1,Rx,C,N
Pedialyte,Diarrhea,1,OTC,C,N
Peptic Relief,Diarrhea,1,Rx/OTC,N,N
Pink Bismuth,Diarrhea,1,Rx/OTC,N,N
Saccharomyces Boulardii+MOS,Diarrhea,1,OTC,N,N
Soothe Caplets,Diarrhea,1,Rx/OTC,N,N
atropine / difenoxin,Diarrhea,0,Rx,C,X
CeraLyte,Diarrhea,0,OTC,C,N
electrolyte replacement solutions,Diarrhea,0,OTC,C,N
Enfalyte,Diarrhea,0,OTC,C,N
Equalyte,Diarrhea,0,OTC,C,N
Medi-Lyte,Diarrhea,0,OTC,C,N
Motofen,Diarrhea,0,Rx,C,X
Oralyte,Diarrhea,0,OTC,C,N
Rehydralyte,Diarrhea,0,OTC,C,N
ReVital,Diarrhea,0,OTC,C,N
triamcinolone,Eczema,97,Rx,C,N
mometasone,Eczema,49,Rx,C,N
hydrocortisone,Eczema,43,Rx/OTC,C,N
methotrexate,Eczema,43,Rx,X,X
clobetasol,Eczema,42,Rx,C,N
Elidel,Eczema,31,Rx,C,N
fluocinonide,Eczema,25,Rx,C,N
desonide,Eczema,24,Rx,C,N
prednisone,Eczema,21,Rx,C,N
Elocon,Eczema,17,Rx,C,N
desoximetasone,Eczema,9,Rx,C,N
pimecrolimus,Eczema,9,Rx,C,N
Cortizone-10,Eczema,8,OTC,C,N
dexamethasone,Eczema,8,Rx,C,N
halobetasol,Eczema,8,Rx,C,N
Kenalog,Eczema,7,Rx,C,N
Topicort,Eczema,7,Rx,C,N
fluocinolone,Eczema,6,Rx/OTC,C,N
Dexamethasone Intensol,Eczema,5,Rx,C,N
fluocinolone,Eczema,5,Rx,N,N
fluticasone,Eczema,5,Rx,C,N
alclometasone,Eczema,4,Rx,C,N
azathioprine,Eczema,4,Rx,D,N
Cloderm,Eczema,4,Rx,C,N
Cutivate,Eczema,3,Rx,C,N
cyclosporine,Eczema,3,Rx,C,N
DermOtic Oil,Eczema,3,Rx,N,N
Locoid Lipocream,Eczema,3,Rx,C,N
Aristocort A,Eczema,2,Rx,C,N
Aristocort R,Eczema,2,Rx,C,N
Beser,Eczema,2,Rx,C,N
Beta HC,Eczema,2,OTC,C,N
Cinolar,Eczema,2,Rx,C,N
Cordran Tape,Eczema,2,Rx,C,N
De-Sone LA,Eczema,2,Rx,C,N
DermacinRx Trizapak,Eczema,2,Rx,C,N
Dermasorb TA,Eczema,2,Rx,C,N
DesOwen,Eczema,2,Rx,C,N
Dxevo,Eczema,2,Rx,C,N
flurandrenolide,Eczema,2,Rx,C,N
Halog,Eczema,2,Rx,C,N
HiDex,Eczema,2,Rx,C,N
Juulissa Pharmapak,Eczema,2,Rx,C,N
Locoid,Eczema,2,Rx,C,N
Oralone,Eczema,2,Rx,C,N
SilaLite Pak,Eczema,2,Rx,C,N
Treziopak,Eczema,2,Rx,C,N
Trianex,Eczema,2,Rx,C,N
Triderm,Eczema,2,Rx,C,N
Tritocin,Eczema,2,Rx,C,N
Ultravate,Eczema,2,Rx,C,N
Ala-Cort,Eczema,1,Rx,C,N
Ala-Scalp,Eczema,1,Rx,C,N
Ala-Scalp HP,Eczema,1,Rx,C,N
amcinonide,Eczema,1,Rx,C,N
ApexiCon E,Eczema,1,Rx,C,N
Aquanil HC,Eczema,1,OTC,C,N
Aquax-H,Eczema,1,Rx,C,N
Caldecort,Eczema,1,OTC,C,N
clioquinol / hydrocortisone,Eczema,1,Rx,C,N
Clobex,Eczema,1,Rx,C,N
clocortolone,Eczema,1,Rx,C,N
Cordran,Eczema,1,Rx,C,N
Cortizone-5,Eczema,1,OTC,C,N
Derma-Smoothe / FS (Scalp),Eczema,1,Rx/OTC,C,N
Dermarest Plus Anti-Itch,Eczema,1,OTC,C,N
Dermovate,Eczema,1,Rx,C,N
Dermtex HC,Eczema,1,OTC,C,N
Desonate,Eczema,1,Rx,C,N
doxepin,Eczema,1,Rx,B,X
Fluocinonide-E,Eczema,1,Rx,C,N
hydrocortisone / iodoquinol,Eczema,1,Rx,C,N
Itch-X Lotion,Eczema,1,Rx,C,N
NuCort,Eczema,1,Rx,C,N
Pandel,Eczema,1,Rx,C,N
Prudoxin,Eczema,1,Rx,B,X
Sarnol-HC,Eczema,1,OTC,C,N
Temovate,Eczema,1,Rx,C,N
Texacort,Eczema,1,Rx,C,N
U-Cort,Eczema,1,OTC,C,N
Vanos,Eczema,1,Rx,C,N
Verdeso,Eczema,1,Rx,C,N
Zonalon,Eczema,1,Rx,B,X
Ala-Quin,Eczema,0,Rx,C,N
Alcortin A,Eczema,0,Rx,C,N
aloe polysaccharides / iodoquinol,Eczema,0,Rx,C,N
aloe vera / hydrocortisone / iodoquinol,Eczema,0,Rx,C,N
Aloquin,Eczema,0,Rx,C,N
ammonium lactate / halobetasol,Eczema,0,Rx,C,N
ammonium lactate/urea,Eczema,0,Rx/OTC,C,N
Apexicon,Eczema,0,Rx,C,N
Capex,Eczema,0,Rx/OTC,C,N
Carb-O-Lac5,Eczema,0,Rx/OTC,C,N
Carb-O-Lac HP,Eczema,0,Rx/OTC,C,N
Clobevate,Eczema,0,Rx,C,N
Clodan,Eczema,0,Rx,C,N
Cordran SP,Eczema,0,Rx,C,N
Cormax,Eczema,0,Rx,C,N
Cormax Scalp,Eczema,0,Rx,C,N
Corti-Sav,Eczema,0,Rx,C,N
Cyclocort,Eczema,0,Rx,C,N
Derma-Smoothe / FS,Eczema,0,Rx/OTC,C,N
Derma-Smoothe / FS (Body Oil),Eczema,0,Rx/OTC,C,N
Dermatop,Eczema,0,Rx,C,N
Dermazene,Eczema,0,Rx,C,N
DesRx,Eczema,0,Rx,C,N
diflorasone,Eczema,0,Rx,C,N
Embeline,Eczema,0,Rx,C,N
Embeline E,Eczema,0,Rx,C,N
Flac,Eczema,0,Rx,N,N
halcinonide,Eczema,0,Rx,C,N
Halonate,Eczema,0,Rx,C,N
Kerasal Ultra 20,Eczema,0,Rx/OTC,C,N
LoKara,Eczema,0,Rx,C,N
Nolix,Eczema,0,Rx,C,N
Olux,Eczema,0,Rx,C,N
Olux-E,Eczema,0,Rx,C,N
prednicarbate,Eczema,0,Rx,C,N
Quinja,Eczema,0,Rx,C,N
R A Acne,Eczema,0,Rx/OTC,N,N
Resinol,Eczema,0,Rx/OTC,N,N
resorcinol,Eczema,0,Rx/OTC,N,N
Synalar,Eczema,0,Rx/OTC,C,N
Synalar Ointment,Eczema,0,Rx/OTC,C,N
Tovet,Eczema,0,Rx,C,N
Ultralytic,Eczema,0,Rx/OTC,C,N
Ultralytic 2,Eczema,0,Rx/OTC,C,N
Vytone,Eczema,0,Rx,C,N
Cialis,Erectile Dysfunction,99,Rx,B,X
sildenafil,Erectile Dysfunction,73,Rx,B,X
Viagra,Erectile Dysfunction,72,Rx,B,X
tadalafil,Erectile Dysfunction,44,Rx,B,X
Caverject Impulse,Erectile Dysfunction,19,Rx,X,N
Staxyn,Erectile Dysfunction,19,Rx,B,X
vardenafil,Erectile Dysfunction,15,Rx,B,X
alprostadil,Erectile Dysfunction,10,Rx,X,N
Edex,Erectile Dysfunction,8,Rx,X,N
Stendra,Erectile Dysfunction,7,Rx,C,X
Caverject,Erectile Dysfunction,6,Rx,X,N
Muse,Erectile Dysfunction,6,Rx,X,N
avanafil,Erectile Dysfunction,4,Rx,C,X
Entereg,Gastrointestinal,94,Rx,B,N
Lidocaine Viscous,Gastrointestinal,84,Rx,B,N
alvimopan,Gastrointestinal,65,Rx,B,N
lidocaine,Gastrointestinal,24,Rx/OTC,B,N
Glydo,Gastrointestinal,11,Rx,B,N
Xylocaine Jelly,Gastrointestinal,11,Rx/OTC,B,N
LTA II Kit,Gastrointestinal,9,Rx,B,N
omeprazole,GERD (Heartburn),100,Rx/OTC,C,N
pantoprazole,GERD (Heartburn),53,Rx,B,N
Nexium,GERD (Heartburn),36,Rx,C,N
famotidine,GERD (Heartburn),26,Rx/OTC,B,N
Protonix,GERD (Heartburn),26,Rx,B,N
Prilosec,GERD (Heartburn),24,Rx,C,N
Dexilant,GERD (Heartburn),19,Rx,B,N
Aciphex,GERD (Heartburn),16,Rx,B,N
Prilosec OTC,GERD (Heartburn),16,OTC,C,N
esomeprazole,GERD (Heartburn),13,Rx/OTC,C,N
lansoprazole,GERD (Heartburn),13,Rx/OTC,B,N
Prevacid,GERD (Heartburn),13,Rx,B,N
Pepcid,GERD (Heartburn),11,Rx,B,N
rabeprazole,GERD (Heartburn),9,Rx,B,N
sucralfate,GERD (Heartburn),8,Rx,B,N
Pepcid AC,GERD (Heartburn),7,OTC,B,N
Carafate,GERD (Heartburn),6,Rx,B,N
Nexium 24HR,GERD (Heartburn),6,OTC,C,N
Protonix IV,GERD (Heartburn),6,Rx,B,N
Acid Controller Maximum Strength,GERD (Heartburn),4,OTC,B,N
Acid Controller Original Strength,GERD (Heartburn),4,OTC,B,N
Acid Reducer Maximum Strength,GERD (Heartburn),4,Rx/OTC,B,N
